player_id,year,round,pick,team
bowerru01,1981,3,59,CLE
bowesbi01,1969,10,135,CIN
bowiean01,1986,3,66,HOU
bowiesa01,1984,1,2,POR
bowleji01,1969,8,112,PHI
bowlior01,1963,11,77,NYK
bowmach01,1961,9,77,NYK
bowmana01,1965,1,9,CIN
boycedo01,1995,2,42,ATL
boycema01,1987,6,122,PHO
boydal01,1970,13,199,POR
boydde01,1977,4,72,NOJ
boyddo01,1970,8,127,POR
boyddw01,1988,3,66,DEN
boyder01,1985,7,141,GSW
boydfr01,1972,1,5,PHI
boydke01,1974,9,154,NOJ
boyerst01,1975,7,123,GSW
boylaji01,1978,4,68,SDC
boylami01,1973,9,148,CAP
boyleke01,1982,6,137,PHI
boynewi01,1978,1,13,NJN
brabewa01,1967,14,145,PHI
bracclo01,1969,11,151,ATL
bracebr01,2001,2,58,SAS
bracest01,1972,2,21,ATL
braceva01,1979,9,170,DET
brackcr01,2010,1,21,OKC
brackde01,1955,5,37,NYK
braddga01,1964,1,3,BAL
braddja01,1983,5,107,DEN
bradlal01,1977,2,29,IND
bradlal02,1981,4,86,NYK
bradlav01,2010,1,19,BOS
bradlbi01,1965,1,2,NYK
bradlch01,1981,1,23,BOS
bradlch02,1985,3,51,SAC
bradldu01,1979,1,13,IND
bradlja01,1979,2,35,ATL
bradlji01,1974,3,48,LAL
bradljo02,1962,7,58,DET
bradlmi01,2001,1,17,TOR
bradlsh01,1993,1,2,PHI
bradlte01,1983,8,167,CHI
bradlto01,2017,1,28,LAL
bradscl01,1981,2,38,ATL
bradybo01,1954,7,57,PHW
bradyke01,1973,4,61,DET
braggdo01,1955,7,54,MNL
braggto01,1998,2,57,UTA
bramlaj01,1999,2,39,CLE
brancad01,1985,2,46,CHI
brandel01,1999,1,1,CHI
brandgr01,1984,10,219,SEA
brandji01,1980,8,163,UTA
brandpa01,1953,9,,MLH
brandte01,1991,1,11,CLE
brangji01,1960,6,47,PHW
branhma01,2022,1,20,SAS
branncl01,1950,3,28,TRI
brannri01,1980,4,78,IND
bransbr01,1980,2,45,DET
bransje01,1965,2,16,PHI
brantda01,1984,7,144,LAC
brantja01,2019,2,50,IND
branyty01,1979,7,146,SAS
brascji01,1952,2,,SYR
bratera01,1971,7,116,PHO
bratzmi01,1977,3,66,PHO
braunch01,2022,1,21,DEN
braxtqu01,1975,9,149,POR
brazdig01,2019,2,47,SAC
breako01,2025,2,41,GSW
bredaji01,1953,3,,FTW
breedbi01,1986,3,63,UTA
breedru01,1972,9,137,BAL
brellga01,1971,3,51,MIL
brennji01,1964,9,75,PHI
brennpe01,1958,1,4,NYK
brennto01,1952,8,,PHW
brennto02,1958,8,61,PHW
brensja01,1964,9,73,NYK
brentda01,1973,6,102,LAL
bresnne01,1980,6,117,GSW
breuera01,1983,1,18,MIL
breweco01,2007,1,7,MIN
breweco02,1998,2,51,MIA
breweja01,2001,2,41,IND
breweji01,1973,1,2,CLE
brewero01,1978,1,7,POR
brewero02,2006,1,14,UTA
brewest01,1981,8,172,HOU
brewevi01,1962,9,76,SYR
brewsga01,1976,3,48,BUF
brewsla01,1978,10,200,SAS
brewspe01,1952,5,,MLH
brezepr01,2000,1,27,IND
brickbi01,1971,6,98,LAL
brickfr01,1981,3,57,NYK
bridgbi01,1961,3,32,CHP
bridgju01,1975,1,8,LAL
bridgmi01,2018,1,10,PHI
bridgmi02,2018,1,12,LAC
bridgpr01,1984,5,103,DEN
briggca01,1986,4,79,SAS
briggwa01,1964,10,82,PHI
brinked01,1958,8,57,MNL
bristal01,1973,2,21,PHI
brittda01,1980,3,57,DAL
brittjo01,1976,7,120,CLE
brittmi01,1985,2,29,SAS
